+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------+-----------------------------------------------------------+------------------------------------+
| event_number |                                                                                                                                       name                                                                                                                                      |           date           |                          location                         |             source_url             |
+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------+-----------------------------------------------------------+------------------------------------+
|      0       |                                                                                                                          Volleyball vs. Cal Poly Pomona                                                                                                                         |        2024-01-01        |                        WWU Vikings                        | https://win.wwu.edu/event/11353303 |
|      1       |                                                                                                                             Volleyball vs. St. Cloud                                                                                                                            |        2024-01-01        |                        WWU Vikings                        | https://win.wwu.edu/event/11354392 |
|      2       |                                                                                                                             Volleyball vs. SF State                                                                                                                             |        2024-01-01        |                        WWU Vikings                        | https://win.wwu.edu/event/11354408 |
|      3       |                                                                                                                 Wilderness First Aid Certification through WMTC                                                                                                                 |        2024-01-01        |                     AS Outdoor Center                     | https://win.wwu.edu/event/11386663 |
|      4       |                                                                                                         Information Sessions for New Students F Financial Aid Department                                                                                                        |        2024-01-01        |                  Financial Aid Department                 | https://win.wwu.edu/event/11357009 |
|      5       |                                                                                          WWU Family Outreach Office Hours: Coffee, Tea & Family O Office of Orientation and Transition                                                                                          |        2024-01-01        |            Office of Orientation and Transition           | https://win.wwu.edu/event/11466986 |
|      6       |                                                                                         Orientation and Transition Office Hours for New Students O Office of Orientation and Transition                                                                                         |        2024-01-01        |            Office of Orientation and Transition           | https://win.wwu.edu/event/11353480 |
|      7       |   Virtual Welcome Meeting: Ridgeway Residents ![University Residences](https://se-images.campuslabs.com/clink/images/7b8845c2-8ac9-4e9e-b9d2-53edb3fc493010ef8e73-8570-4f67-85b4-86b7c824d3e3.png?preset=small-sq)University Residences ](https://win.wwu.edu/event/11520914)   |        2024-01-01        |                   University Residences                   | https://win.wwu.edu/event/11520914 |
|      8       | Virtual Welcome Meeting: North Campus Residents ![University Residences](https://se-images.campuslabs.com/clink/images/7b8845c2-8ac9-4e9e-b9d2-53edb3fc493010ef8e73-8570-4f67-85b4-86b7c824d3e3.png?preset=small-sq)University Residences ](https://win.wwu.edu/event/11520888) |        2024-01-01        |                   University Residences                   | https://win.wwu.edu/event/11520888 |
|      9       | Virtual Welcome Meeting: South Campus Residents ![University Residences](https://se-images.campuslabs.com/clink/images/7b8845c2-8ac9-4e9e-b9d2-53edb3fc493010ef8e73-8570-4f67-85b4-86b7c824d3e3.png?preset=small-sq)University Residences ](https://win.wwu.edu/event/11520917) |        2024-01-01        |                   University Residences                   | https://win.wwu.edu/event/11520917 |
|      10      |   Virtual Welcome: Living Learning Communities ![University Residences](https://se-images.campuslabs.com/clink/images/7b8845c2-8ac9-4e9e-b9d2-53edb3fc493010ef8e73-8570-4f67-85b4-86b7c824d3e3.png?preset=small-sq)University Residences ](https://win.wwu.edu/event/11520925)  |        2024-01-01        |                   University Residences                   | https://win.wwu.edu/event/11520925 |
|      11      |                                                                                          WWU Family Outreach Office Hours: Coffee, Tea & Family O Office of Orientation and Transition                                                                                          |        2024-01-01        |            Office of Orientation and Transition           | https://win.wwu.edu/event/11466987 |
|      12      |                        Men's Soccer vs. Regis ![WWU Vikings](https://se-images.campuslabs.com/clink/images/6833ad38-fc97-4761-9df2-edee940eacf437c61249-e326-4670-8868-362fb45b167a.jpg?preset=small-sq)WWU Vikings ](https://win.wwu.edu/event/11354609)                       |        2024-01-01        |                        WWU Vikings                        | https://win.wwu.edu/event/11354609 |
|      13      |                 Women's Soccer vs. CS Monterey Bay  ![WWU Vikings](https://se-images.campuslabs.com/clink/images/6833ad38-fc97-4761-9df2-edee940eacf437c61249-e326-4670-8868-362fb45b167a.jpg?preset=small-sq)WWU Vikings ](https://win.wwu.edu/event/11372414)                 |        2024-01-01        |                        WWU Vikings                        | https://win.wwu.edu/event/11372414 |
|      14      |                                                                                                        DisOrientation: DAC and DOC at Camp VU Hosted by 4 organizations                                                                                                         |        2024-01-01        |                                                           | https://win.wwu.edu/event/11477406 |
|      15      |                                                                                                             Orientation and Transition Office Hours for New Students                                                                                                            | 2025-09-08 to 2025-09-11 |                           Online                          | https://win.wwu.edu/event/11353480 |
|      16      |                                                                                                                         WWU Family Outreach Office Hours                                                                                                                        | 2025-09-08 to 2025-09-11 |                           Online                          | https://win.wwu.edu/event/11466986 |
|      17      |                                                                                                                      Information Sessions for New Students                                                                                                                      |        2025-09-09        |                           Online                          | https://win.wwu.edu/event/11357009 |
|      18      |                                                                                                                      DisOrientation: DAC and DOC at Camp VU                                                                                                                     |        2024-09-19        | Viking Union Multicultural Center Multi-Use Room (VU 735) | https://win.wwu.edu/event/11477406 |
|      19      |                                                                                                              WWU Family Outreach Office Hours: Coffee, Tea & Family                                                                                                             | 2025-09-15 to 2025-09-18 |                           Online                          | https://win.wwu.edu/event/11466987 |
+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------+-----------------------------------------------------------+------------------------------------+
