+--------------+-------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------+
| event number |                                                     name                                                    |                                           date                                           |                                                        location                                                        |                                      url                                       |
+--------------+-------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------+
|      0       |                                    Information Sessions for New Students                                    |   Tuesday, September 9 2025 at 6:00 PM PDT to Tuesday, September 9 2025 at 7:30 PM PDT   |                                                         Online                                                         |                       https://win.wwu.edu/event/11357009                       |
|      1       |                           Orientation and Transition Office Hours for New Students                          |                      Tuesday, September 2 2025 at 10:00 AM PDT to                        |                                                         Online                                                         |                       https://win.wwu.edu/event/11353481                       |
|              |                                                                                                             |                        Thursday, September 4 2025 at 2:00 PM PDT                         |                                                                                                                        |                                                                                |
|      2       |                            WWU Family Outreach Office Hours: Coffee, Tea & Family                           |                       Monday, September 8 2025 at 10:00 AM PDT to                        |                                                         Online                                                         |                       https://win.wwu.edu/event/11466986                       |
|              |                                                                                                             |                        Thursday, September 11 2025 at 2:00 PM PDT                        |                                                                                                                        |                                                                                |
|      3       |                           Orientation and Transition Office Hours for New Students                          |  Monday, September 8 2025 at 10:00 AM PDT to Thursday, September 11 2025 at 2:00 PM PDT  |                                                         Online                                                         |                       https://win.wwu.edu/event/11353480                       |
|      4       |                            WWU Family Outreach Office Hours: Coffee, Tea & Family                           | Monday, September 15 2025 at 10:00 AM PDT to Thursday, September 18 2025 at 2:00 PM PDT  |                                                         Online                                                         |                       https://win.wwu.edu/event/11466987                       |
|      5       |                            WWU Family Outreach Office Hours: Coffee, Tea & Family                           |  Tuesday, September 2 2025 at 10:00 AM PDT to Thursday, September 4 2025 at 2:00 PM PDT  |                                                         Online                                                         |                       https://win.wwu.edu/event/11466870                       |
|      6       |                           Orientation and Transition Office Hours for New Students                          |                                                                                          |                                                                                                                        |                       https://win.wwu.edu/event/11353481                       |
|      7       |                            WWU Family Outreach Office Hours: Coffee, Tea & Family                           |                                                                                          |                                                                                                                        |                       https://win.wwu.edu/event/11466986                       |
|      8       |                           Orientation and Transition Office Hours for New Students                          |                                                                                          |                                                                                                                        |                       https://win.wwu.edu/event/11353480                       |
|      9       |                            WWU Family Outreach Office Hours: Coffee, Tea & Family                           |                                                                                          |                                                                                                                        |                       https://win.wwu.edu/event/11466987                       |
|      10      |                                       DisOrientation: Virtual Welcome                                       | Wednesday, September 3 2025 at 2:00 PM PDT to Wednesday, September 3 2025 at 3:30 PM PDT |                                                         Online                                                         |                       https://win.wwu.edu/event/11360458                       |
|      11      |                                    DisOrientation: DAC and DOC at Camp VU                                   |                                                                                          |                                                                                                                        |                       https://win.wwu.edu/event/11477406                       |
|      12      |              DisOrientation: Disability Access Center and Disability Outreach Center Open House             |                                                                                          |                                                                                                                        |                       https://win.wwu.edu/event/11360626                       |
|      13      |                 DisOrientation: Glam Up Your Accessibility Aids & Campus Accessibility Tours                |                                                                                          |                                                                                                                        |                       https://win.wwu.edu/event/11360961                       |
|      14      |                                       DisOrientation: Speed Friending                                       |                                                                                          |                                                                                                                        |                       https://win.wwu.edu/event/11361017                       |
|      15      |                                         DisOrientation: Silent Disco                                        |                                                                                          |                                                                                                                        |                       https://win.wwu.edu/event/11361048                       |
|      16      |                                       DisOrientation: Virtual Welcome                                       |                 From Wednesday, September 3, 2025 2:00 PM to 3:30 PM PDT                 |                                                         Online                                                         |                       https://win.wwu.edu/event/11360458                       |
|      17      |                           Orientation and Transition Office Hours for New Students                          |   From Tuesday, September 2, 2025 10:00 AM to Thursday, September 4, 2025 2:00 PM PDT    |                                                         Online                                                         |                       https://win.wwu.edu/event/11353481                       |
|      18      |               WWU Family Outreach Office Hours:                          Coffee, Tea & Family               |   From Tuesday, September 2, 2025 10:00 AM to Thursday, September 4, 2025 2:00 PM PDT    |                                                         Online                                                         |                       https://win.wwu.edu/event/11466870                       |
|      19      |                                        Volleyball vs. Cal Poly Pomona                                       |                 From Thursday, September 4, 2025 6:00 PM to 8:00 PM PDT                  |                                                WECU Court at Carver Gym                                                |                       https://win.wwu.edu/event/11353303                       |
|      20      |                                           Volleyball vs. St. Cloud                                          |                  From Friday, September 5, 2025 7:00 PM to 9:00 PM PDT                   |                                                WECU Court at Carver Gym                                                |                       https://win.wwu.edu/event/11354392                       |
|      21      |                                           Volleyball vs. SF State                                           |                 From Saturday, September 6, 2025 4:00 PM to 6:00 PM PDT                  |                                                WECU Court at Carver Gym                                                |                       https://win.wwu.edu/event/11354408                       |
|      22      |                               Wilderness First Aid Certification through WMTC                               |     From Friday, September 5, 2025 8:00 AM to Sunday, September 7, 2025 5:00 PM PDT      |                                             Lakewood Watersports Facility                                              |                       https://win.wwu.edu/event/11386663                       |
|      23      |                                    Information Sessions for New Students                                    |                  From Tuesday, September 9, 2025 6:00 PM to 7:30 PM PDT                  |                                                         Online                                                         |                       https://win.wwu.edu/event/11357009                       |
|      24      |                           Orientation and Transition Office Hours for New Students                          |   From Monday, September 8, 2025 10:00 AM to Thursday, September 11, 2025 2:00 PM PDT    |                                                         Online                                                         |                       https://win.wwu.edu/event/11353480                       |
|      25      |               WWU Family Outreach Office Hours:                          Coffee, Tea & Family               |   From Monday, September 8, 2025 10:00 AM to Thursday, September 11, 2025 2:00 PM PDT    |                                                         Online                                                         |                       https://win.wwu.edu/event/11466986                       |
|      26      |                               Virtual Welcome Meeting: North Campus Residents                               |                 From Thursday, September 11, 2025 4:00 PM to 5:00 PM PDT                 |                                                         Online                                                         |                       https://win.wwu.edu/event/11520888                       |
|      27      |                                 Virtual Welcome Meeting: Ridgeway Residents                                 |                 From Thursday, September 11, 2025 4:00 PM to 5:00 PM PDT                 |                                                         Online                                                         |                       https://win.wwu.edu/event/11520914                       |
|      28      |                               Virtual Welcome Meeting: South Campus Residents                               |                 From Thursday, September 11, 2025 4:00 PM to 5:00 PM PDT                 |                                                         Online                                                         |                       https://win.wwu.edu/event/11520917                       |
|      29      |                                 Virtual Welcome: Living Learning Communities                                |                 From Tuesday, September 16, 2025 3:00 PM to 4:00 PM PDT                  |                                                         Online                                                         |                       https://win.wwu.edu/event/11520925                       |
|      30      |               WWU Family Outreach Office Hours:                          Coffee, Tea & Family               |   From Monday, September 15, 2025 10:00 AM to Thursday, September 18, 2025 2:00 PM PDT   |                                                         Online                                                         |                       https://win.wwu.edu/event/11466987                       |
|      31      |                                            Men's Soccer vs. Regis                                           |                 From Thursday, September 18, 2025 4:00 PM to 6:00 PM PDT                 |                                                    Harrington Field                                                    |                       https://win.wwu.edu/event/11354609                       |
|      32      |                                      Women's Soccer vs. CS Monterey Bay                                     |                 From Thursday, September 18, 2025 7:00 PM to 9:00 PM PDT                 |                                                    Harrington Field                                                    |                       https://win.wwu.edu/event/11372414                       |
|      33      |                                    DisOrientation: DAC and DOC at Camp VU                                   |                  From Friday, September 19, 2025 1:00 PM to 4:00 PM PDT                  |                               Viking Union Multicultural Center Multi-Use Room (VU 735)                                |                       https://win.wwu.edu/event/11477406                       |
|      34      |                                                   Camp VU                                                   |                 From Friday, September 19, 2025 12:00 PM to 7:00 PM PDT                  |                                                   Viking Union (VU)                                                    |                       https://win.wwu.edu/event/11396692                       |
|      35      |                                         Men's Soccer vs. Westminster                                        |                From Saturday, September 20, 2025 12:00 PM to 2:00 PM PDT                 |                                                    Harrington Field                                                    |                       https://win.wwu.edu/event/11372555                       |
|      36      |                                                   Camp VU                                                   |                From Saturday, September 20, 2025 12:00 PM to 7:00 PM PDT                 |                                                   Viking Union (VU)                                                    |                       https://win.wwu.edu/event/11396691                       |
|      37      |              DisOrientation: Disability Access Center and Disability Outreach Center Open House             |                  From Sunday, September 21, 2025 2:00 PM to 5:00 PM PDT                  |           Disability Access Center (Wilson Library 170) and Disability Outreach Center (Wilson Library 165)            |                       https://win.wwu.edu/event/11360626                       |
|      38      |                                         Fall Outdoor Movie: SUPERMAN                                        |                 From Sunday, September 21, 2025 7:00 PM to 11:00 PM PDT                  |                              WWU Communications Lawn (if rain, Arntzen 100 & Fraser 102)                               |                       https://win.wwu.edu/event/11521348                       |
|      39      |                                             Fall Info Fair 2025                                             |                 From Monday, September 22, 2025 11:00 AM to 1:00 PM PDT                  |                                               Red Square and Flag Plaza                                                |                       https://win.wwu.edu/event/11369798                       |
|      40      |                                             Fall Info Fair 2025                                             |                  From Monday, September 22, 2025 2:00 PM to 4:00 PM PDT                  |                                               Red Square and Flag Plaza                                                |                       https://win.wwu.edu/event/11369799                       |
|      41      |                                           BikeFest: Learn to Ride                                           |                  From Monday, September 22, 2025 3:00 PM to 4:30 PM PDT                  |                                                 Outdoor Center (VU150)                                                 |                       https://win.wwu.edu/event/11441536                       |
|      42      |                                         Late Night at the Rec Center                                        |                 From Monday, September 22, 2025 9:00 PM to 11:45 PM PDT                  |                                          Wade King Student Recreation Center                                           |                       https://win.wwu.edu/event/11340579                       |
|      43      |                 DisOrientation: Glam Up Your Accessibility Aids & Campus Accessibility Tours                |                 From Tuesday, September 23, 2025 11:00 AM to 4:00 PM PDT                 | Viking Union Multicultural Center Multi-Use Room (VU 735), Multicultural Center Kitchen/Social Area, and Across Campus |                       https://win.wwu.edu/event/11360961                       |
|      44      |                               Lawn Game Extravaganza with the Outdoor Center!                               |                 From Tuesday, September 23, 2025 1:00 PM to 4:00 PM PDT                  |                                      Old Main Lawn, Western Washington University                                      |                       https://win.wwu.edu/event/11368447                       |
|      45      |                                       BikeFest: Confident City Cycling                                      |                 From Tuesday, September 23, 2025 3:00 PM to 4:30 PM PDT                  |                                                 Outdoor Center (VU150)                                                 |                       https://win.wwu.edu/event/11441964                       |
|      46      |                                       DisOrientation: Speed Friending                                       |                From Wednesday, September 24, 2025 3:30 PM to 5:00 PM PDT                 |                                                    Viking Union 464                                                    |                       https://win.wwu.edu/event/11361017                       |
|      47      |               WWU Family Outreach Office Hours:                          Coffee, Tea & Family               |   From Monday, September 22, 2025 10:00 AM to Thursday, September 25, 2025 2:00 PM PDT   |                                                         Online                                                         |                       https://win.wwu.edu/event/11466988                       |
|      48      |                           Orientation and Transition Office Hours for New Students                          |   From Monday, September 22, 2025 10:00 AM to Thursday, September 25, 2025 2:00 PM PDT   |                                                         Online                                                         |                       https://win.wwu.edu/event/11467230                       |
