+--------------+--------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+------------------------------------+
| event number |                                                           name                                                           |                                           date                                           |                                                        location                                                        |                url                 |
+--------------+--------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+------------------------------------+
|      0       |                                DisOrientation: Virtual Welcome Hosted by 3 organizations                                 |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11360458 |
|      1       |             Orientation and Transition Office Hours for New Students O Office of Orientation and Transition              |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11353481 |
|      2       |              WWU Family Outreach Office Hours: Coffee, Tea & Family O Office of Orientation and Transition               |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11466870 |
|      3       |                                        Volleyball vs. Cal Poly Pomona WWU Vikings                                        |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11353303 |
|      4       |                                           Volleyball vs. St. Cloud WWU Vikings                                           |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11354392 |
|      5       |                                           Volleyball vs. SF State WWU Vikings                                            |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11354408 |
|      6       |                            Wilderness First Aid Certification through WMTC AS Outdoor Center                             |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11386663 |
|      7       |                             Information Sessions for New Students F Financial Aid Department                             |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11357009 |
|      8       |              WWU Family Outreach Office Hours: Coffee, Tea & Family O Office of Orientation and Transition               |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11466986 |
|      9       |             Orientation and Transition Office Hours for New Students O Office of Orientation and Transition              |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11353480 |
|      10      |                            Virtual Welcome Meeting: Ridgeway Residents University Residences                             |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11520914 |
|      11      |                          Virtual Welcome Meeting: North Campus Residents University Residences                           |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11520888 |
|      12      |                          Virtual Welcome Meeting: South Campus Residents University Residences                           |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11520917 |
|      13      |                            Virtual Welcome: Living Learning Communities University Residences                            |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11520925 |
|      14      |              WWU Family Outreach Office Hours: Coffee, Tea & Family O Office of Orientation and Transition               |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11466987 |
|      15      |                                  WWU Family Outreach Office Hours: Coffee, Tea & Family                                  | Monday, September 15 2025 at 10:00 AM PDT to Thursday, September 18 2025 at 2:00 PM PDT  |                                                         Online                                                         | https://win.wwu.edu/event/11466987 |
|      16      |                                 Orientation and Transition Office Hours for New Students                                 |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11353481 |
|      17      |                                  WWU Family Outreach Office Hours: Coffee, Tea & Family                                  |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11466870 |
|      18      |                                  WWU Family Outreach Office Hours: Coffee, Tea & Family                                  |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11466986 |
|      19      |                                 Orientation and Transition Office Hours for New Students                                 |                                                                                          |                                                                                                                        | https://win.wwu.edu/event/11353480 |
|      20      |                                 Orientation and Transition Office Hours for New Students                                 |  Monday, September 8 2025 at 10:00 AM PDT to Thursday, September 11 2025 at 2:00 PM PDT  |                                                         Online                                                         | https://win.wwu.edu/event/11353480 |
|      21      |                                  WWU Family Outreach Office Hours: Coffee, Tea & Family                                  |  Tuesday, September 2 2025 at 10:00 AM PDT to Thursday, September 4 2025 at 2:00 PM PDT  |                                                         Online                                                         | https://win.wwu.edu/event/11466870 |
|      22      |                                             DisOrientation: Virtual Welcome                                              |                 From Wednesday, September 3, 2025 2:00 PM to 3:30 PM PDT                 |                                                         Online                                                         | https://win.wwu.edu/event/11360458 |
|      23      |                                 Orientation and Transition Office Hours for New Students                                 |   From Tuesday, September 2, 2025 10:00 AM to Thursday, September 4, 2025 2:00 PM PDT    |                                                         Online                                                         | https://win.wwu.edu/event/11353481 |
|      24      |                     WWU Family Outreach Office Hours:                          Coffee, Tea & Family                      |   From Tuesday, September 2, 2025 10:00 AM to Thursday, September 4, 2025 2:00 PM PDT    |                                                         Online                                                         | https://win.wwu.edu/event/11466870 |
|      25      |                                              Volleyball vs. Cal Poly Pomona                                              |                 From Thursday, September 4, 2025 6:00 PM to 8:00 PM PDT                  |                                                WECU Court at Carver Gym                                                | https://win.wwu.edu/event/11353303 |
|      26      |                                                 Volleyball vs. St. Cloud                                                 |                  From Friday, September 5, 2025 7:00 PM to 9:00 PM PDT                   |                                                WECU Court at Carver Gym                                                | https://win.wwu.edu/event/11354392 |
|      27      |                                                 Volleyball vs. SF State                                                  |                 From Saturday, September 6, 2025 4:00 PM to 6:00 PM PDT                  |                                                WECU Court at Carver Gym                                                | https://win.wwu.edu/event/11354408 |
|      28      |                                     Wilderness First Aid Certification through WMTC                                      |     From Friday, September 5, 2025 8:00 AM to Sunday, September 7, 2025 5:00 PM PDT      |                                             Lakewood Watersports Facility                                              | https://win.wwu.edu/event/11386663 |
|      29      |                                          Information Sessions for New Students                                           |                  From Tuesday, September 9, 2025 6:00 PM to 7:30 PM PDT                  |                                                         Online                                                         | https://win.wwu.edu/event/11357009 |
|      30      |                                 Orientation and Transition Office Hours for New Students                                 |   From Monday, September 8, 2025 10:00 AM to Thursday, September 11, 2025 2:00 PM PDT    |                                                         Online                                                         | https://win.wwu.edu/event/11353480 |
|      31      |                     WWU Family Outreach Office Hours:                          Coffee, Tea & Family                      |   From Monday, September 8, 2025 10:00 AM to Thursday, September 11, 2025 2:00 PM PDT    |                                                         Online                                                         | https://win.wwu.edu/event/11466986 |
|      32      |                                     Virtual Welcome Meeting: North Campus Residents                                      |                 From Thursday, September 11, 2025 4:00 PM to 5:00 PM PDT                 |                                                         Online                                                         | https://win.wwu.edu/event/11520888 |
|      33      |                                       Virtual Welcome Meeting: Ridgeway Residents                                        |                 From Thursday, September 11, 2025 4:00 PM to 5:00 PM PDT                 |                                                         Online                                                         | https://win.wwu.edu/event/11520914 |
|      34      |                                     Virtual Welcome Meeting: South Campus Residents                                      |                 From Thursday, September 11, 2025 4:00 PM to 5:00 PM PDT                 |                                                         Online                                                         | https://win.wwu.edu/event/11520917 |
|      35      |                                       Virtual Welcome: Living Learning Communities                                       |                 From Tuesday, September 16, 2025 3:00 PM to 4:00 PM PDT                  |                                                         Online                                                         | https://win.wwu.edu/event/11520925 |
|      36      |                     WWU Family Outreach Office Hours:                          Coffee, Tea & Family                      |   From Monday, September 15, 2025 10:00 AM to Thursday, September 18, 2025 2:00 PM PDT   |                                                         Online                                                         | https://win.wwu.edu/event/11466987 |
|      37      |                                                  Men's Soccer vs. Regis                                                  |                 From Thursday, September 18, 2025 4:00 PM to 6:00 PM PDT                 |                                                    Harrington Field                                                    | https://win.wwu.edu/event/11354609 |
|      38      |                                            Women's Soccer vs. CS Monterey Bay                                            |                 From Thursday, September 18, 2025 7:00 PM to 9:00 PM PDT                 |                                                    Harrington Field                                                    | https://win.wwu.edu/event/11372414 |
|      39      |                                          DisOrientation: DAC and DOC at Camp VU                                          |                  From Friday, September 19, 2025 1:00 PM to 4:00 PM PDT                  |                               Viking Union Multicultural Center Multi-Use Room (VU 735)                                | https://win.wwu.edu/event/11477406 |
|      40      |                                                         Camp VU                                                          |                 From Friday, September 19, 2025 12:00 PM to 7:00 PM PDT                  |                                                   Viking Union (VU)                                                    | https://win.wwu.edu/event/11396692 |
|      41      |                                               Men's Soccer vs. Westminster                                               |                From Saturday, September 20, 2025 12:00 PM to 2:00 PM PDT                 |                                                    Harrington Field                                                    | https://win.wwu.edu/event/11372555 |
|      42      |                                                         Camp VU                                                          |                From Saturday, September 20, 2025 12:00 PM to 7:00 PM PDT                 |                                                   Viking Union (VU)                                                    | https://win.wwu.edu/event/11396691 |
|      43      |                    DisOrientation: Disability Access Center and Disability Outreach Center Open House                    |                  From Sunday, September 21, 2025 2:00 PM to 5:00 PM PDT                  |           Disability Access Center (Wilson Library 170) and Disability Outreach Center (Wilson Library 165)            | https://win.wwu.edu/event/11360626 |
|      44      |                                               Fall Outdoor Movie: SUPERMAN                                               |                 From Sunday, September 21, 2025 7:00 PM to 11:00 PM PDT                  |                              WWU Communications Lawn (if rain, Arntzen 100 & Fraser 102)                               | https://win.wwu.edu/event/11521348 |
|      45      |                                                   Fall Info Fair 2025                                                    |                 From Monday, September 22, 2025 11:00 AM to 1:00 PM PDT                  |                                               Red Square and Flag Plaza                                                | https://win.wwu.edu/event/11369798 |
|      46      |                                                   Fall Info Fair 2025                                                    |                  From Monday, September 22, 2025 2:00 PM to 4:00 PM PDT                  |                                               Red Square and Flag Plaza                                                | https://win.wwu.edu/event/11369799 |
|      47      |                                                 BikeFest: Learn to Ride                                                  |                  From Monday, September 22, 2025 3:00 PM to 4:30 PM PDT                  |                                                 Outdoor Center (VU150)                                                 | https://win.wwu.edu/event/11441536 |
|      48      |                                               Late Night at the Rec Center                                               |                 From Monday, September 22, 2025 9:00 PM to 11:45 PM PDT                  |                                          Wade King Student Recreation Center                                           | https://win.wwu.edu/event/11340579 |
|      49      |                       DisOrientation: Glam Up Your Accessibility Aids & Campus Accessibility Tours                       |                 From Tuesday, September 23, 2025 11:00 AM to 4:00 PM PDT                 | Viking Union Multicultural Center Multi-Use Room (VU 735), Multicultural Center Kitchen/Social Area, and Across Campus | https://win.wwu.edu/event/11360961 |
|      50      |                                     Lawn Game Extravaganza with the Outdoor Center!                                      |                 From Tuesday, September 23, 2025 1:00 PM to 4:00 PM PDT                  |                                      Old Main Lawn, Western Washington University                                      | https://win.wwu.edu/event/11368447 |
|      51      |                                             BikeFest: Confident City Cycling                                             |                 From Tuesday, September 23, 2025 3:00 PM to 4:30 PM PDT                  |                                                 Outdoor Center (VU150)                                                 | https://win.wwu.edu/event/11441964 |
