+-----------------------------------------------------------+------------------------------------------------------------------------------------------+----------------------------------------------------------------+------------------------------------+
|                         Event Name                        |                                        Event Date                                        |                         Event Location                         |             Source URL             |
+-----------------------------------------------------------+------------------------------------------------------------------------------------------+----------------------------------------------------------------+------------------------------------+
| DisOrientation: Virtual Welcome Hosted by 3 organizations |                                                                                          |                                                                | https://win.wwu.edu/event/11360458 |
|  Orientation and Transition Office Hours for New Students |                                                                                          |                                                                | https://win.wwu.edu/event/11353481 |
|   WWU Family Outreach Office Hours: Coffee, Tea & Family  |                                                                                          |                                                                | https://win.wwu.edu/event/11466870 |
|               Volleyball vs. Cal Poly Pomona              |                                                                                          |                                                                | https://win.wwu.edu/event/11353303 |
|                  Volleyball vs. St. Cloud                 |                                                                                          |                                                                | https://win.wwu.edu/event/11354392 |
|                  Volleyball vs. SF State                  |                                                                                          |                                                                | https://win.wwu.edu/event/11354408 |
|      Wilderness First Aid Certification through WMTC      |                                                                                          |                                                                | https://win.wwu.edu/event/11386663 |
|           Information Sessions for New Students           |                                                                                          |                                                                | https://win.wwu.edu/event/11357009 |
|   WWU Family Outreach Office Hours: Coffee, Tea & Family  |                                                                                          |                                                                | https://win.wwu.edu/event/11466986 |
|  Orientation and Transition Office Hours for New Students |                                                                                          |                                                                | https://win.wwu.edu/event/11353480 |
|        Virtual Welcome Meeting: Ridgeway Residents        |                                                                                          |                                                                | https://win.wwu.edu/event/11520914 |
|      Virtual Welcome Meeting: North Campus Residents      |                                                                                          |                                                                | https://win.wwu.edu/event/11520888 |
|      Virtual Welcome Meeting: South Campus Residents      |                                                                                          |                                                                | https://win.wwu.edu/event/11520917 |
|        Virtual Welcome: Living Learning Communities       |                                                                                          |                                                                | https://win.wwu.edu/event/11520925 |
|   WWU Family Outreach Office Hours: Coffee, Tea & Family  |                                                                                          |                                                                | https://win.wwu.edu/event/11466987 |
|               Volleyball vs. Cal Poly Pomona              |  Thursday, September 4 2025 at 6:00 PM PDT to Thursday, September 4 2025 at 8:00 PM PDT  | WECU Court at Carver Gym 516 High St. , Bellingham, Washington | https://win.wwu.edu/event/11353303 |
|   WWU Family Outreach Office Hours: Coffee, Tea & Family  | Monday, September 15 2025 at 10:00 AM PDT to Thursday, September 18 2025 at 2:00 PM PDT  |                             Online                             | https://win.wwu.edu/event/11466987 |
|  Orientation and Transition Office Hours for New Students |  Tuesday, September 2 2025 at 10:00 AM PDT to Thursday, September 4 2025 at 2:00 PM PDT  |                             Online                             | https://win.wwu.edu/event/11353481 |
|        Virtual Welcome Meeting: Ridgeway Residents        | Thursday, September 11 2025 at 4:00 PM PDT to Thursday, September 11 2025 at 5:00 PM PDT |                             Online                             | https://win.wwu.edu/event/11520914 |
|      Virtual Welcome Meeting: South Campus Residents      | Thursday, September 11 2025 at 4:00 PM PDT to Thursday, September 11 2025 at 5:00 PM PDT |                             Online                             | https://win.wwu.edu/event/11520917 |
+-----------------------------------------------------------+------------------------------------------------------------------------------------------+----------------------------------------------------------------+------------------------------------+
