+----------------------------------------------------------+-------------------------------------------------------------------------------------------+----------------------------------------------------------------+------------------------------------+
|                        Event Name                        |                                         Event Date                                        |                         Event Location                         |             Source URL             |
+----------------------------------------------------------+-------------------------------------------------------------------------------------------+----------------------------------------------------------------+------------------------------------+
|                 Volleyball vs. St. Cloud                 |                                                                                           |                                                                | https://win.wwu.edu/event/11354392 |
|                 Volleyball vs. SF State                  |                                                                                           |                                                                | https://win.wwu.edu/event/11354408 |
|     Wilderness First Aid Certification through WMTC      |                                                                                           |                                                                | https://win.wwu.edu/event/11386663 |
|          Information Sessions for New Students           |                                                                                           |                                                                | https://win.wwu.edu/event/11357009 |
|  WWU Family Outreach Office Hours: Coffee, Tea & Family  |                                                                                           |                                                                | https://win.wwu.edu/event/11466986 |
| Orientation and Transition Office Hours for New Students |                                                                                           |                                                                | https://win.wwu.edu/event/11353480 |
|       Virtual Welcome Meeting: Ridgeway Residents        |                                                                                           |                             Online                             | https://win.wwu.edu/event/11520914 |
|     Virtual Welcome Meeting: North Campus Residents      |                                                                                           |                             Online                             | https://win.wwu.edu/event/11520888 |
|     Virtual Welcome Meeting: South Campus Residents      |                                                                                           |                             Online                             | https://win.wwu.edu/event/11520917 |
|       Virtual Welcome: Living Learning Communities       |                                                                                           |                             Online                             | https://win.wwu.edu/event/11520925 |
|  WWU Family Outreach Office Hours: Coffee, Tea & Family  |                                                                                           |                                                                | https://win.wwu.edu/event/11466987 |
|                  Men's Soccer vs. Regis                  |                                                                                           |                                                                | https://win.wwu.edu/event/11354609 |
|            Women's Soccer vs. CS Monterey Bay            |                                                                                           |                                                                | https://win.wwu.edu/event/11372414 |
|          DisOrientation: DAC and DOC at Camp VU          |                                                                                           |                            Camp VU                             | https://win.wwu.edu/event/11477406 |
|                   Camp VU: DIY Smores                    |                                                                                           |                            Camp VU                             | https://win.wwu.edu/event/11567400 |
| Orientation and Transition Office Hours for New Students |   Monday, September 8 2025 at 10:00 AM PDT to Thursday, September 11 2025 at 2:00 PM PDT  |                             Online                             | https://win.wwu.edu/event/11353480 |
|          Information Sessions for New Students           |    Tuesday, September 9 2025 at 6:00 PM PDT to Tuesday, September 9 2025 at 7:30 PM PDT   |                             Online                             | https://win.wwu.edu/event/11357009 |
|  WWU Family Outreach Office Hours: Coffee, Tea & Family  |  Monday, September 15 2025 at 10:00 AM PDT to Thursday, September 18 2025 at 2:00 PM PDT  |                             Online                             | https://win.wwu.edu/event/11466987 |
|                  Men's Soccer vs. Regis                  |  Thursday, September 18 2025 at 4:00 PM PDT to Thursday, September 18 2025 at 6:00 PM PDT |   Harrington Field 798 S College Dr., Bellingham, Washington   | https://win.wwu.edu/event/11354609 |
|     Virtual Welcome Meeting: South Campus Residents      |  Thursday, September 11 2025 at 4:00 PM PDT to Thursday, September 11 2025 at 5:00 PM PDT |                             Online                             | https://win.wwu.edu/event/11520917 |
|                 Volleyball vs. St. Cloud                 |     Friday, September 5 2025 at 7:00 PM PDT to Friday, September 5 2025 at 9:00 PM PDT    | WECU Court at Carver Gym 516 High St. , Bellingham, Washington | https://win.wwu.edu/event/11354392 |
|     Virtual Welcome Meeting: North Campus Residents      |  Thursday, September 11 2025 at 4:00 PM PDT to Thursday, September 11 2025 at 5:00 PM PDT |                             Online                             | https://win.wwu.edu/event/11520888 |
|       Virtual Welcome: Living Learning Communities       |   Tuesday, September 16 2025 at 3:00 PM PDT to Tuesday, September 16 2025 at 4:00 PM PDT  |                             Online                             | https://win.wwu.edu/event/11520925 |
|               Men's Soccer vs. Westminster               | Saturday, September 20 2025 at 12:00 PM PDT to Saturday, September 20 2025 at 2:00 PM PDT |   Harrington Field 798 S College Dr., Bellingham, Washington   | https://win.wwu.edu/event/11372555 |
| Orientation and Transition Office Hours for New Students |  Monday, September 22 2025 at 10:00 AM PDT to Thursday, September 25 2025 at 2:00 PM PDT  |                             Online                             | https://win.wwu.edu/event/11467230 |
|  WWU Family Outreach Office Hours: Coffee, Tea & Family  |  Monday, September 22 2025 at 10:00 AM PDT to Thursday, September 25 2025 at 2:00 PM PDT  |                             Online                             | https://win.wwu.edu/event/11466988 |
+----------------------------------------------------------+-------------------------------------------------------------------------------------------+----------------------------------------------------------------+------------------------------------+
